"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","wraps store operations so request-time store errors fail open","Unit | Infrastructure | Rate Limit Store","2026-06-24","passed","2026-06-24","","","",""
"","1","summarizes an accepted breach as blocking","Unit | Scripts | Performance Budget","2026-06-24","passed","2026-06-24","","","",""
"","1","preserves provider validation metadata on the provider definition","Unit | Providers | Definitions | Build OpenAI Compatible Provider","2026-06-24","passed","2026-06-24","","","",""
"","1","builds API URLs relative to the configured GitHub API base","Unit | Scripts | GitHub | Dispatch Pages Publish","2026-06-24","passed","2026-06-24","","","",""
"","2","keeps provider-validation response-time budgets configurable from the environment","Unit | Scripts | Postman | Collection Utils","2026-06-24","passed","2026-06-24","","","",""
"","2","propagates non-skippable provider failures","Unit | Providers | Adapter Contract Matrix","2026-06-24","passed","2026-06-24","","ollama provider adapter contract","",""
"","1","supports caller-provided image resolvers for page job orchestration","Unit | Services | Page Description Service","2026-06-24","passed","2026-06-24","","","",""
"","1","b.png is a non-trivial PNG fixture","provider validation fixtures","2026-06-24","passed","2026-06-24","","","",""
"","3","waits for async-capable provider jobs when describing a page in async mode","Unit | Services | Page Description Service","2026-06-24","passed","2026-06-24","","","",""
"","4","logs start and completion details when the Newman command succeeds","Unit | Scripts | Postman | Newman Runner","2026-06-24","passed","2026-06-24","","","",""
"","5","keeps the standard node environment when Allure is disabled","Unit | Jest Configuration","2026-06-24","passed","2026-06-24","","","",""
"","1","isImage(https://example.com/script.js) === false","Unit | Services | Scraper Service","2026-06-24","passed","2026-06-24","","ScraperService.isImage","",""
"","5","builds env schema and config defaults","Unit | Providers | Definitions | Build OpenAI Compatible Provider","2026-06-24","passed","2026-06-24","","","",""
"","2","maps each role to a distinct free port","Unit | Scripts | Postman | Port Allocator","2026-06-24","passed","2026-06-24","","","",""
"","3","targets every Redis-suffixed spec in the redis lane","Unit | Jest Lane Configs","2026-06-24","passed","2026-06-24","","","",""
"","0","blocks private or special-use address 192.168.1.20","Unit | Infrastructure | Outbound URL Policy","2026-06-24","passed","2026-06-24","","","",""
"","18","copies the latest valid history artifact into the results directory","Unit | Allure History Artifact Restore","2026-06-24","passed","2026-06-24","","","",""
"","2","protects non-health endpoints with both schemes","Unit | Config | Swagger","2026-06-24","passed","2026-06-24","","security and public endpoints","",""
"","7","accepts Bearer authentication on protected endpoints","Integration | API","2026-06-24","passed","2026-06-24","","API access control","",""
"","92","is exactly what the canonical generator produces (the freshness invariant)","Unit | Scripts | OpenAPI | Freshness Check","2026-06-24","passed","2026-06-24","","committed artifact","",""
"","1","exposes the default base ref fallback chain","Unit | Scripts | OpenAPI | Contract Diff","2026-06-24","passed","2026-06-24","","main","",""
"","1","blocks private or special-use address fc00::1","Unit | Infrastructure | Outbound URL Policy","2026-06-24","passed","2026-06-24","","","",""
"","3","restarts pending page jobs on status lookup and returns terminal failures as stored jobs","Unit | Services | Page Description Job Service","2026-06-24","passed","2026-06-24","","","",""
"","6","restores the published history files into the results directory","Unit | Allure History Fetcher","2026-06-24","passed","2026-06-24","","","",""
"","1","extracts tokens from Bearer authorization","Unit | Middleware | Access Control","2026-06-24","passed","2026-06-24","","","",""
"","1","builds deploy rollout probe URLs from the production base URL","Unit | Scripts | Run Postman Deploy","2026-06-24","passed","2026-06-24","","buildDeployProbeUrls","",""
"","2","parses supported CLI arguments","Unit | Scripts | GitHub | Review Dependencies","2026-06-24","passed","2026-06-24","","parseArgs","",""
"","2","flags folder names without a two-digit order prefix","Unit | Scripts | Postman | Collection Lint","2026-06-24","passed","2026-06-24","","lintFolderNames","",""
"","7","allows protected endpoints through when auth is explicitly disabled","Integration | API","2026-06-24","passed","2026-06-24","","API access control","",""
