"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","claims in-memory jobs when the lease is free or expired","Unit | Infrastructure | Description Job Store","2026-07-07","passed","2026-07-07","","","",""
"","1","keeps package scripts mapped to explicit Jest lane configs","Unit | Jest Lane Configs","2026-07-07","passed","2026-07-07","","","",""
"","1","suppresses only the known out-of-scope majors (ESLint 10, Jest 30)","Unit | Dependabot Policy","2026-07-07","passed","2026-07-07","","","",""
"","2","declares the required fields and links of the public root index","Unit | Config | Swagger","2026-07-07","passed","2026-07-07","","required schemas","",""
"","1","maps azure to azure only","Unit | Scripts | Postman | Provider Validation Scope","2026-07-07","passed","2026-07-07","","getSelectedProviders","",""
"","0","returns false for a relative path","Unit | URL Validator","2026-07-07","passed","2026-07-07","","","",""
"","1","accepts requirements that name declared schemes","Unit | Scripts | OpenAPI | Validate Spec","2026-07-07","passed","2026-07-07","","validateSecurity","",""
"","6","returns a completed async page-description job response","Integration | API","2026-07-07","passed","2026-07-07","","GET /api/accessibility/page-description-jobs/:jobId","",""
"","22","fails the page job when a dependent description job fails or disappears","Unit | Services | Page Description Job Service","2026-07-07","passed","2026-07-07","","","",""
"","2","maps nested request ids and names back to their top-level folder","Unit | Scripts | Postman | Collection Utils","2026-07-07","passed","2026-07-07","","","",""
"","3","forks the requested number of workers and restarts unexpected exits with backoff","Unit | Server | Cluster Manager","2026-07-07","passed","2026-07-07","","","",""
"","0","preserves provider validation metadata on the provider definition","Unit | Providers | Definitions | Build OpenAI Compatible Provider","2026-07-07","passed","2026-07-07","","","",""
"","2","creates a scoped installation token for the repository","Unit | Scripts | GitHub | Create GitHub App Installation Token","2026-07-07","passed","2026-07-07","","createInstallationAccessToken","",""
"","1","normalizes successful image descriptions","Unit | Providers | Adapter Contract Matrix","2026-07-07","passed","2026-07-07","","azure provider adapter contract","",""
"","12","rejects unsupported CLI arguments","Unit | Scripts | GitHub | Write Newman Summary","2026-07-07","passed","2026-07-07","","","",""
"","2","builds page-job errors and skips execution when the job is terminal, active, or unclaimable","Unit | Services | Page Description Job Service","2026-07-07","passed","2026-07-07","","","",""
"","72","accepts an Ollama-only provider configuration","Unit | Utils | Validate Env Vars","2026-07-07","passed","2026-07-07","","","",""
"","1","reads string and object URL shapes","Unit | Scripts | Postman | Collection Lint","2026-07-07","passed","2026-07-07","","getRequestUrl","",""
"","1","prefers data-src over src for lazy-loaded images","Unit | Services | Scraper Service","2026-07-07","passed","2026-07-07","","ScraperService.extractImageSources","",""
