"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","serves Azure descriptions through the default runtime composition when configured","Integration | API","2026-06-02","passed","2026-06-02","","GET /api/accessibility/description","",""
"","4","builds env schema and config defaults","Unit | Providers | Definitions | Build OpenAI Compatible Provider","2026-06-02","passed","2026-06-02","","","",""
"","16","throws when a configured provider is missing a runtime builder","Unit | Providers | Runtime Registry","2026-06-02","passed","2026-06-02","","","",""
"","4","detects api-key-backed multimodal providers","Unit | Scripts | Postman | Provider Validation Scope","2026-06-02","passed","2026-06-02","","detectAvailableProviders","",""
"","0","maps every optional provider and timeout override into the app env","Unit | Postman Harness Reporting","2026-06-02","passed","2026-06-02","","","",""
"","1","keeps non-main/non-production CI runs ephemeral","Unit | Allure History Policy","2026-06-02","passed","2026-06-02","","","",""
"","1","maps the all scope to the configured live provider folders","Unit | Scripts | Postman | Provider Validation Scope","2026-06-02","passed","2026-06-02","","getSelectedProviderFolders","",""
"","0","maps together to the shared neutral folder with production env vars","Unit | Scripts | Postman | Provider Validation Scope","2026-06-02","passed","2026-06-02","","getSelectedProviderPlans","",""
"","2","returns 200 when a page-description job has completed","Unit | Controllers | Description Controller","2026-06-02","passed","2026-06-02","","DescriptionController.getPageDescriptionJob","",""
"","45","Unversioned scraper alias","alt-text-generator API Contract Harness","2026-06-02","passed","2026-06-02","","07 Route Aliases","",""
"","421","creates an installation token from the configured GitHub App secret","Unit | Scripts | GitHub | Create GitHub App Installation Token","2026-06-02","passed","2026-06-02","","createGitHubAppInstallationToken","",""
"","1","maps azure to azure only","Unit | Scripts | Postman | Provider Validation Scope","2026-06-02","passed","2026-06-02","","getSelectedProviders","",""
"","2","starts servers and resolves when the listen callback fires","Unit | Server | Server Functions","2026-06-02","passed","2026-06-02","","","",""
"","1","posts GitHub workflow dispatch requests","Unit | Scripts | GitHub | Dispatch Pages Publish","2026-06-02","passed","2026-06-02","","","",""
"","1","emits grouped diagnostic lines for GitHub Actions logs","Unit | Scripts | Postman | Newman Runner","2026-06-02","passed","2026-06-02","","","",""
"","2","normalizes the bare /api/ route with a relative redirect","Unit | Middleware | Request Filter","2026-06-02","passed","2026-06-02","","","",""
"","1","writes the pid file only from the primary process","Unit | Server | Runtime Bootstrap","2026-06-02","passed","2026-06-02","","","",""
"","2","initializes a Redis-backed store and wires client errors to the logger","Unit | Infrastructure | Description Job Store","2026-06-02","passed","2026-06-02","","","",""
"","2","returns false for unrelated failures","Unit | Providers | Shared | Is Skippable Image Source Error","2026-06-02","passed","2026-06-02","","","",""
"","11","redirects /api/ to the versioned route for secure requests","Integration | API","2026-06-02","passed","2026-06-02","","request filter","",""
"","1","isImage(https://example.com/photo.gif) === true","Unit | Services | Scraper Service","2026-06-02","passed","2026-06-02","","ScraperService.isImage","",""
"","1","returns scraped images on success","Unit | Controllers | Scraper Controller","2026-06-02","passed","2026-06-02","","","",""
"","27","Protected description rejects missing auth","alt-text-generator API Contract Harness","2026-06-02","passed","2026-06-02","","08 API Auth Contract","",""
"","1","extracts axios-style config, code, headers, and body preview","Unit | Utils | Get Upstream Error Summary","2026-06-02","passed","2026-06-02","","","",""
"","1","writes key/value pairs to the provided file","Unit | Scripts | GitHub | Resolve Provider Validation Scope","2026-06-02","passed","2026-06-02","","appendGitHubEnv","",""
"","2","normalizes URLs and parses CLI arguments","Unit | Allure History Policy","2026-06-02","passed","2026-06-02","","","",""
"","1","returns false for a relative path","Unit | URL Validator","2026-06-02","passed","2026-06-02","","","",""
"","6","continues to rate limit normal API traffic","Integration | API","2026-06-02","passed","2026-06-02","","rate limiting","",""
"","17","builds an aggregate summary from Newman JSON reports","Unit | Scripts | GitHub | Write Newman Summary","2026-06-02","passed","2026-06-02","","","",""
"","1","accepts true and false","Unit | Scripts | Run Postman Deploy","2026-06-02","passed","2026-06-02","","normalizeBooleanFlag","",""
"","7","returns cached completed page jobs without launching new work","Unit | Services | Page Description Job Service","2026-06-02","passed","2026-06-02","","","",""
"","1","rejects token responses that omit the token value","Unit | Scripts | GitHub | Create GitHub App Installation Token","2026-06-02","passed","2026-06-02","","createInstallationAccessToken","",""
"","5","returns image list on success","Integration | API","2026-06-02","passed","2026-06-02","","GET /api/scraper/images","",""
"","1","creates a runtime describer and prefers an injected provider client","Unit | Providers | Definitions | Build OpenAI Compatible Provider","2026-06-02","passed","2026-06-02","","","",""
"","1","builds a manifest with stream-specific metadata","Unit | Allure History Artifact Packaging","2026-06-02","passed","2026-06-02","","","",""
"","1","resolves workflow_run source context","Unit | Scripts | GitHub | Resolve Pages Source Run","2026-06-02","passed","2026-06-02","","","",""
"","8","requires consecutive stable probes before continuing","Unit | Scripts | Run Postman Deploy","2026-06-02","passed","2026-06-02","","waitForStableDeploy","",""
"","1","resolves the main CI history stream for pushes to main","Unit | Allure History Policy","2026-06-02","passed","2026-06-02","","","",""
"","482","generates self-signed localhost credentials outside production","Unit | Infrastructure | Load TLS Credentials","2026-06-02","passed","2026-06-02","","","",""
"","12","rejects protected requests without a valid token","Unit | Middleware | Access Control","2026-06-02","passed","2026-06-02","","","",""
"","4","returns a pending async job response","Integration | API","2026-06-02","passed","2026-06-02","","GET /api/accessibility/description-jobs/:jobId","",""
"","1","treats a Replicate token as a configured provider when resolving auto","Unit | Scripts | GitHub | Resolve Provider Validation Scope","2026-06-02","passed","2026-06-02","","resolveScopeFromEnv","",""
"","2","parses supported CLI arguments","Unit | Scripts | GitHub | Write Newman Summary","2026-06-02","passed","2026-06-02","","","",""
"","1","does nothing when no summary file is configured","Unit | Scripts | GitHub | Review Dependencies","2026-06-02","passed","2026-06-02","","appendStepSummary","",""
"","1","prefers data-src over src for lazy-loaded images","Unit | Services | Scraper Service","2026-06-02","passed","2026-06-02","","ScraperService.extractImageSources","",""
"","1","allows protected requests through when auth is explicitly disabled","Unit | Middleware | Access Control","2026-06-02","passed","2026-06-02","","","",""
"","2","returns true for a valid http URL","Unit | URL Validator","2026-06-02","passed","2026-06-02","","","",""
"","4","rejects protected endpoints when the token is not in API_AUTH_TOKENS","Integration | API","2026-06-02","passed","2026-06-02","","API access control","",""
"","1","surfaces GitHub API dispatch failures","Unit | Scripts | GitHub | Dispatch Pages Publish","2026-06-02","passed","2026-06-02","","","",""
"","1","parses provider override states from yaml","Unit | Config | Provider Overrides","2026-06-02","passed","2026-06-02","","","",""
"","0","dispatches the publish workflow for the source CI run","Unit | Scripts | GitHub | Dispatch Pages Publish","2026-06-02","passed","2026-06-02","","","",""
"","0","isImage(https://example.com/photo.bmp) === true","Unit | Services | Scraper Service","2026-06-02","passed","2026-06-02","","ScraperService.isImage","",""
"","105","rejects a max restart backoff smaller than the base restart backoff","Unit | Utils | Validate Env Vars","2026-06-02","passed","2026-06-02","","","",""
"","84","accepts explicitly disabled API auth without configured tokens","Unit | Utils | Validate Env Vars","2026-06-02","passed","2026-06-02","","","",""
"","2","shuts servers down gracefully on SIGTERM and exits with code 0","Unit | Server | Server Functions","2026-06-02","passed","2026-06-02","","","",""
"","2","forwards a validation error for an unknown model","Unit | Controllers | Description Controller","2026-06-02","passed","2026-06-02","","DescriptionController.describe","",""
"","1","throws immediate provider job failures without persisting a pending job","Unit | Services | Description Job Service","2026-06-02","passed","2026-06-02","","","",""
"","1","falls back to the store get method when no claim helper exists and returns null for missing jobs","Unit | Services | Page Description Job Service","2026-06-02","passed","2026-06-02","","","",""
"","3","calls the API with correct url, data, and headers","Unit | Services | Azure Describer Service","2026-06-02","passed","2026-06-02","","","",""
"","13","returns 503 while the instance is draining","Integration | API","2026-06-02","passed","2026-06-02","","GET /api/health","",""
"","27","advances replicate predictions through processing to success","Unit | Scripts | Postman Fixture Server","2026-06-02","passed","2026-06-02","","","",""
"","2","returns false for provider-endpoint failures","Unit | Providers | Shared | Is Skippable Image Source Error","2026-06-02","passed","2026-06-02","","","",""
"","1","rejects unsupported CLI arguments","Unit | Scripts | GitHub | Compose Pages Site","2026-06-02","passed","2026-06-02","","","",""
"","1","resolves relative image paths to absolute URLs","Unit | Services | Scraper Service","2026-06-02","passed","2026-06-02","","ScraperService.extractImageSources","",""
"","2","retries retryable upstream errors before succeeding","Unit | Services | OpenAI Compatible Vision Describer Service","2026-06-02","passed","2026-06-02","","","",""
"","2","surfaces GitHub API failures","Unit | Scripts | GitHub | Review Dependencies","2026-06-02","passed","2026-06-02","","fetchGitHubJson","",""
"","1","does not restart workers that exit intentionally","Unit | Server | Cluster Manager","2026-06-02","passed","2026-06-02","","","",""
"","4","builds local mock provider configuration URLs","Unit | Scripts | Postman | Local Provider Mocks","2026-06-02","passed","2026-06-02","","","",""
"","4","normalizes non-error unhandled rejections into structured fatal logs","Unit | Server | Register Fatal Handlers","2026-06-02","passed","2026-06-02","","","",""
"","2","normalizes the report URL and builds history file URLs","Unit | Allure History Fetcher","2026-06-02","passed","2026-06-02","","","",""
"","1","treats either a header or an exact assertion as a specific status expectation","Unit | Scripts | Postman | Collection Utils","2026-06-02","passed","2026-06-02","","","",""
"","2","uses postman:live-provider as the canonical npm command","Unit | Scripts | Run Postman Live","2026-06-02","passed","2026-06-02","","package and workflow wiring","",""
"","2","extracts trimmed direct string payloads","Unit | Providers | Shared | Extract Caption Text","2026-06-02","passed","2026-06-02","","","",""
"","2","keeps async provider-validation polling controls configurable from the environment","Unit | Scripts | Postman | Collection Utils","2026-06-02","passed","2026-06-02","","","",""
"","23","maps request outcomes to the expected log levels and messages","Unit | Infrastructure | Logger","2026-06-02","passed","2026-06-02","","","",""
"","1","extracts tokens from X-API-Key first","Unit | Middleware | Access Control","2026-06-02","passed","2026-06-02","","","",""
"","3","returns 202 with page-job metadata for pending async replicate page descriptions","Integration | API","2026-06-02","passed","2026-06-02","","GET /api/accessibility/descriptions","",""
"","1","allows protected requests with a matching token","Unit | Middleware | Access Control","2026-06-02","passed","2026-06-02","","","",""
"","3","allows public health endpoints without authentication","Integration | API","2026-06-02","passed","2026-06-02","","API access control","",""
"","1","rejects malformed forwarded host headers instead of constructing a redirect target","Unit | Middleware | Request Filter","2026-06-02","passed","2026-06-02","","","",""
"","26","keeps health checks available when the default API limiter is exhausted","Integration | API","2026-06-02","passed","2026-06-02","","rate limiting","",""
"","115","accepts Azure provider credentials when endpoint and subscription key are set","Unit | Utils | Validate Env Vars","2026-06-02","passed","2026-06-02","","","",""
"","1","returns null for unknown assets","provider validation fixtures","2026-06-02","passed","2026-06-02","","","",""
"","1","falls back to huggingface before openai and openrouter in auto mode","Unit | Scripts | Postman | Provider Validation Scope","2026-06-02","passed","2026-06-02","","resolveProviderScope","",""
"","2","maps provider timeouts to gateway timeout responses","Unit | Controllers | Description Controller","2026-06-02","passed","2026-06-02","","DescriptionController.describe","",""
"","19","rejects missing required CLI arguments","Unit | Allure History Artifact Packaging","2026-06-02","passed","2026-06-02","","","",""
"","30","publishes runnable encoded examples for image and page endpoints","Unit | Config | Swagger","2026-06-02","passed","2026-06-02","","","",""
"","2","documents a public root service index","Unit | Config | Swagger","2026-06-02","passed","2026-06-02","","","",""
"","1","parses CLI arguments with defaults","Unit | Scripts | GitHub | Dispatch Pages Publish","2026-06-02","passed","2026-06-02","","","",""
"","5","can restrict detection to an allowed provider subset","Unit | Scripts | Postman | Provider Validation Scope","2026-06-02","passed","2026-06-02","","detectAvailableProviders","",""
"","1","serializes ApiError instances with request metadata","Unit | Middleware | Error Handler","2026-06-02","passed","2026-06-02","","","",""
"","1","rejects unsupported values","Unit | Scripts | Run Postman Deploy","2026-06-02","passed","2026-06-02","","normalizeBooleanFlag","",""
"","24","fails fast when Redis mode is selected without a Redis URL","Unit | Infrastructure | Rate Limit Store","2026-06-02","passed","2026-06-02","","","",""
"","1","uses the configured environment scope when the manual input is auto","Unit | Scripts | GitHub | Resolve Provider Validation Scope","2026-06-02","passed","2026-06-02","","resolveScopeFromEnv","",""
"","26","loads the swagger spec lazily and caches the UI middleware","Unit | Utils | Create Router","2026-06-02","passed","2026-06-02","","","",""
"","1","preserves multiline keys and expands escaped newlines","Unit | Scripts | GitHub | Create GitHub App Installation Token","2026-06-02","passed","2026-06-02","","normalizePrivateKey","",""
"","130","accepts valid cluster lifecycle overrides","Unit | Utils | Validate Env Vars","2026-06-02","passed","2026-06-02","","","",""
"","1","returns false for a plain string","Unit | URL Validator","2026-06-02","passed","2026-06-02","","","",""
"","1","detects exact status assertions in request test scripts","Unit | Scripts | Postman | Collection Utils","2026-06-02","passed","2026-06-02","","","",""
"","304","writes GitHub Actions outputs when executed as a CLI","Unit | Scripts | GitHub | Sync Pages State Branch","2026-06-02","passed","2026-06-02","","","",""
"","12","publishes a PR report without overwriting the root report","Unit | Scripts | GitHub | Compose Pages Site","2026-06-02","passed","2026-06-02","","","",""
"","26","advances replicate predictions through processing to failure","Unit | Scripts | Postman Fixture Server","2026-06-02","passed","2026-06-02","","","",""
"","1","starts not ready by default","Unit | Server | Runtime State","2026-06-02","passed","2026-06-02","","","",""
