"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","downloads the image and submits it to the Ollama chat api","Unit | Services | Ollama Describer Service","2026-06-23","passed","2026-06-23","","","",""
"","1","returns 404 when the page-description job does not exist","Unit | Controllers | Description Controller","2026-06-23","passed","2026-06-23","","DescriptionController.getPageDescriptionJob","",""
"","1","reports stale with structural drift when they differ","Unit | Scripts | OpenAPI | Freshness Check","2026-06-23","passed","2026-06-23","","checkFreshness","",""
"","1","writes key-value outputs when a file is provided","Unit | Scripts | GitHub | Create GitHub App Installation Token","2026-06-23","passed","2026-06-23","","appendOutput","",""
"","2","expires in-memory jobs on read and clears state on close","Unit | Infrastructure | Description Job Store","2026-06-23","passed","2026-06-23","","","",""
"","2","paginates compare responses and decodes snapshot warnings","Unit | Scripts | GitHub | Review Dependencies","2026-06-23","passed","2026-06-23","","listDependencyChanges","",""
"","11","falls back to a fetched data url when the provider rejects the remote image url","Unit | Services | OpenAI Compatible Vision Describer Service","2026-06-23","passed","2026-06-23","","","",""
"","1","validates redirect targets before following them","Unit | Services | Scraper Service","2026-06-23","passed","2026-06-23","","ScraperService.getImages","",""
"","37","Unversioned single description alias","alt-text-generator API Contract Harness","2026-06-23","passed","2026-06-23","","07 Route Aliases","",""
"","1","normalizes successful image descriptions","Unit | Providers | Adapter Contract Matrix","2026-06-23","passed","2026-06-23","","replicate provider adapter contract","",""
"","7","adds the Allure reporter when a results directory is configured","Unit | Postman Harness Reporting","2026-06-23","passed","2026-06-23","","","",""
"","2","builds the dependency compare endpoint with paging","Unit | Scripts | GitHub | Review Dependencies","2026-06-23","passed","2026-06-23","","buildApiUrl","",""
"","5","classifies isolated image-source failures as skippable","Unit | Providers | Adapter Contract Matrix","2026-06-23","passed","2026-06-23","","openrouter provider adapter contract","",""
"","2","uses the canonical production base URL by default","Unit | Scripts | Run Postman Live","2026-06-23","passed","2026-06-23","","parseArgs","",""
"","6","returns description array on success","Integration | API","2026-06-23","passed","2026-06-23","","GET /api/accessibility/description","",""
"","7","returns 400 when url is missing","Integration | API","2026-06-23","passed","2026-06-23","","GET /api/accessibility/descriptions","",""
"","19","supports canceling replicate predictions","Unit | Scripts | Postman Fixture Server","2026-06-23","passed","2026-06-23","","","",""
"","2","switches to the Allure test environment when a results dir is provided","Unit | Jest Configuration","2026-06-23","passed","2026-06-23","","","",""
"","10","throws on a missing --spec value","Unit | Scripts | OpenAPI | Freshness Check","2026-06-23","passed","2026-06-23","","parseArgs","",""
"","4","builds the provider env schema and detects configured providers","Unit | Config | Provider Catalog","2026-06-23","passed","2026-06-23","","","",""
"","30","Missing image returns 500","alt-text-generator API Contract Harness","2026-06-23","passed","2026-06-23","","20 Single Description (Azure Stub)","",""
"","68","rejects a max restart backoff smaller than the base restart backoff","Unit | Utils | Validate Env Vars","2026-06-23","passed","2026-06-23","","","",""
"","21","rejects unsupported protocols and embedded credentials","Unit | Infrastructure | Outbound URL Policy","2026-06-23","passed","2026-06-23","","","",""
"","2","returns false for provider-endpoint failures","Unit | Providers | Shared | Is Skippable Image Source Error","2026-06-23","passed","2026-06-23","","","",""
"","17","rejects missing required arguments","Unit | Scripts | GitHub | Sync Pages State Branch","2026-06-23","passed","2026-06-23","","","",""
"","5","normalizes non-error unhandled rejections into structured fatal logs","Unit | Server | Register Fatal Handlers","2026-06-23","passed","2026-06-23","","","",""
"","4","preserves duplicate image entries while deduping provider work","Unit | Services | Page Description Service","2026-06-23","passed","2026-06-23","","","",""
"","8","blocks private or special-use address ::1","Unit | Infrastructure | Outbound URL Policy","2026-06-23","passed","2026-06-23","","","",""
"","17","redirects /api/ to the versioned route for secure requests","Integration | API","2026-06-23","passed","2026-06-23","","request filter","",""
"","2","loads configured certificate files when paths are provided","Unit | Infrastructure | Load TLS Credentials","2026-06-23","passed","2026-06-23","","","",""
